Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
0	3.0005055999972683	200.49998092651367	215.15662384033203	7.991232395172119,2.316169261932373	8.198518753051758,1.1972633600234985
1	3.4199480999996013	198.02699279785156	211.49608612060547	7.976395606994629,2.3151235580444336	8.183547019958496,1.1968412399291992
2	3.813200999997207	199.63955307006836	220.8038444519043	7.961232662200928,2.31428861618042	8.168230056762695,1.196506142616272
3	4.196235299998079	192.79699325561523	198.76984786987305	7.945096969604492,2.31302547454834	8.1519136428833,1.195992112159729
4	4.690167499997187	197.72977447509766	193.37466430664062	7.927796840667725,2.3117594718933105	8.134367942810059,1.1954950094223022
5	5.162513199997193	186.20693016052246	185.94104766845703	7.909223556518555,2.310563802719116	8.115549087524414,1.1950346231460571
6	5.570849099996849	190.89838027954102	179.5678005218506	7.889656066894531,2.3091230392456055	8.095595359802246,1.19448721408844
7	6.076844999999594	199.8581657409668	179.40940475463867	7.868770599365234,2.3079257011413574	8.074092864990234,1.194017767906189
8	6.52080930000011	192.57651138305664	165.33705711364746	7.845935821533203,2.3066940307617188	8.050500869750977,1.1935161352157593
9	6.965792799997871	196.15557479858398	150.57023811340332	7.821200847625732,2.3051180839538574	8.02489185333252,1.1928569078445435
10	7.361370699996769	191.83423614501953	137.55384063720703	7.793859004974365,2.3042030334472656	7.996507167816162,1.1925045251846313
11	7.731738799997402	180.01454734802246	114.00092220306396	7.763891220092773,2.3024394512176514	7.965076446533203,1.1917908191680908
12	8.156318899997132	183.43450546264648	99.06332588195801	7.730687618255615,2.300222396850586	7.92989444732666,1.1908892393112183
13	8.580739599998196	186.5151824951172	84.49063777923584	7.692949295043945,2.29758358001709	7.889645576477051,1.1898249387741089
14	9.059872699999687	188.81226539611816	71.62710666656494	7.649336338043213,2.2933661937713623	7.843132019042969,1.1881407499313354
15	9.491905699997005	186.03424072265625	48.42824935913086	7.598827838897705,2.2882742881774902	7.789548397064209,1.1861034631729126
16	9.876110199998948	172.6418342590332	37.5226035118103	7.541077613830566,2.2825636863708496	7.727642059326172,1.1838334798812866
17	10.320693999998184	173.01375198364258	32.75111389160156	7.475041389465332,2.276439666748047	7.656630039215088,1.181388258934021
