ID	Correct	Predict	Error
dsgdb9nsd_000054	-65.17364501953125	-67.85983276367188	2.686187744140625
dsgdb9nsd_000055	-57.313438415527344	-59.75070571899414	2.437267303466797
dsgdb9nsd_000081	-57.06208801269531	-59.79692077636719	2.734832763671875
dsgdb9nsd_000083	-65.09649658203125	-67.96963500976562	2.873138427734375
dsgdb9nsd_000084	-57.18622589111328	-59.8393669128418	2.6531410217285156
dsgdb9nsd_000085	-56.912696838378906	-59.41977310180664	2.5070762634277344
dsgdb9nsd_000086	-59.12381362915039	-61.643882751464844	2.520069122314453
dsgdb9nsd_000095	-59.0859375	-61.87928009033203	2.7933425903320312
dsgdb9nsd_000100	-59.04408645629883	-61.72700881958008	2.68292236328125
dsgdb9nsd_000133	-65.0972900390625	-68.00162506103516	2.9043350219726562
dsgdb9nsd_000134	-57.00709533691406	-59.83869552612305	2.8316001892089844
dsgdb9nsd_000135	-56.81871032714844	-59.4363899230957	2.6176795959472656
dsgdb9nsd_000136	-56.966522216796875	-59.454776763916016	2.4882545471191406
dsgdb9nsd_000149	-59.01417922973633	-61.82297134399414	2.8087921142578125
dsgdb9nsd_000159	-59.762630462646484	-61.935001373291016	2.1723709106445312
dsgdb9nsd_000180	-57.8140754699707	-60.97694778442383	3.162872314453125
dsgdb9nsd_000219	-65.1210708618164	-67.07344818115234	1.9523773193359375
dsgdb9nsd_000220	-61.65191650390625	-62.73341369628906	1.0814971923828125
dsgdb9nsd_000224	-64.08837127685547	-65.39727783203125	1.3089065551757812
dsgdb9nsd_000226	-69.10664367675781	-72.06375885009766	2.9571151733398438
dsgdb9nsd_000227	-61.241458892822266	-63.89421081542969	2.652751922607422
dsgdb9nsd_000228	-77.09000396728516	-80.22278594970703	3.132781982421875
dsgdb9nsd_000229	-69.27519226074219	-72.14482116699219	2.86962890625
dsgdb9nsd_000230	-68.95039367675781	-71.7547607421875	2.8043670654296875
dsgdb9nsd_000233	-65.3839340209961	-67.10757446289062	1.7236404418945312
dsgdb9nsd_000250	-65.1092300415039	-67.34666442871094	2.2374343872070312
dsgdb9nsd_000251	-61.63395690917969	-63.01091766357422	1.3769607543945312
dsgdb9nsd_000255	-64.00218963623047	-65.60247802734375	1.6002883911132812
dsgdb9nsd_000256	-59.59038162231445	-60.96086883544922	1.3704872131347656
dsgdb9nsd_000259	-58.320316314697266	-60.8359375	2.5156211853027344
dsgdb9nsd_000261	-64.35186004638672	-65.57379150390625	1.2219314575195312
dsgdb9nsd_000262	-59.83395004272461	-61.252342224121094	1.4183921813964844
dsgdb9nsd_000263	-59.77471160888672	-60.96305465698242	1.1883430480957031
dsgdb9nsd_000272	-69.00386810302734	-72.19482421875	3.1909561157226562
dsgdb9nsd_000273	-61.108150482177734	-64.00825500488281	2.900104522705078
dsgdb9nsd_000274	-77.09561157226562	-80.37694549560547	3.2813339233398438
dsgdb9nsd_000275	-69.19437408447266	-72.24258422851562	3.0482101440429688
dsgdb9nsd_000276	-69.05891418457031	-71.8653564453125	2.8064422607421875
dsgdb9nsd_000277	-68.87137603759766	-71.82772827148438	2.9563522338867188
dsgdb9nsd_000278	-60.957862854003906	-63.508506774902344	2.5506439208984375
dsgdb9nsd_000284	-64.32731628417969	-65.49054718017578	1.1632308959960938
dsgdb9nsd_000285	-59.851829528808594	-61.16300582885742	1.3111763000488281
dsgdb9nsd_000289	-59.48039245605469	-60.68054962158203	1.2001571655273438
dsgdb9nsd_000291	-77.05123138427734	-80.31735229492188	3.2661209106445312
dsgdb9nsd_000292	-69.17211151123047	-72.18079376220703	3.0086822509765625
dsgdb9nsd_000293	-61.31588363647461	-63.95111083984375	2.6352272033691406
dsgdb9nsd_000294	-71.16110229492188	-74.08777618408203	2.9266738891601562
dsgdb9nsd_000295	-63.2808723449707	-65.71825408935547	2.4373817443847656
dsgdb9nsd_000296	-63.04908752441406	-65.61083984375	2.5617523193359375
dsgdb9nsd_000297	-63.31159591674805	-66.02145385742188	2.709857940673828
dsgdb9nsd_000299	-63.152000427246094	-65.81433868408203	2.6623382568359375
dsgdb9nsd_000301	-71.15995788574219	-73.94282531738281	2.782867431640625
dsgdb9nsd_000302	-63.20631408691406	-65.86066436767578	2.6543502807617188
dsgdb9nsd_000303	-63.38207244873047	-65.6171646118164	2.2350921630859375
dsgdb9nsd_000304	-65.63672637939453	-69.36223602294922	3.7255096435546875
dsgdb9nsd_000311	-71.19528198242188	-74.23324584960938	3.0379638671875
dsgdb9nsd_000312	-63.32574462890625	-65.84194946289062	2.516204833984375
dsgdb9nsd_000313	-63.22489929199219	-66.09017181396484	2.8652725219726562
dsgdb9nsd_000314	-57.66280746459961	-61.37107467651367	3.7082672119140625
dsgdb9nsd_000316	-64.54712677001953	-67.81938934326172	3.2722625732421875
dsgdb9nsd_000318	-58.740623474121094	-63.29207229614258	4.551448822021484
dsgdb9nsd_000358	-64.37324523925781	-65.5606689453125	1.1874237060546875
dsgdb9nsd_000360	-59.71117401123047	-60.95140075683594	1.2402267456054688
dsgdb9nsd_000368	-58.758419036865234	-60.63530349731445	1.8768844604492188
dsgdb9nsd_000371	-65.05500030517578	-67.29317474365234	2.2381744384765625
dsgdb9nsd_000372	-61.58160400390625	-62.95712661743164	1.3755226135253906
dsgdb9nsd_000385	-63.96703338623047	-65.58040618896484	1.613372802734375
dsgdb9nsd_000387	-59.386104583740234	-60.71657180786133	1.3304672241210938
dsgdb9nsd_000390	-60.95663833618164	-63.97456359863281	3.017925262451172
dsgdb9nsd_000391	-77.0537338256836	-80.3541259765625	3.3003921508789062
dsgdb9nsd_000392	-69.02101135253906	-72.19230651855469	3.171295166015625
dsgdb9nsd_000393	-68.9239730834961	-71.8646240234375	2.9406509399414062
dsgdb9nsd_000394	-69.20101165771484	-72.23128509521484	3.0302734375
dsgdb9nsd_000395	-61.20107650756836	-63.97138977050781	2.770313262939453
dsgdb9nsd_000396	-60.9083366394043	-63.49939727783203	2.5910606384277344
dsgdb9nsd_000411	-63.047943115234375	-65.85980224609375	2.811859130859375
dsgdb9nsd_000412	-57.829368591308594	-61.39558029174805	3.566211700439453
dsgdb9nsd_000414	-71.09709930419922	-74.01908874511719	2.9219894409179688
dsgdb9nsd_000415	-63.18206787109375	-65.65473175048828	2.4726638793945312
dsgdb9nsd_000416	-63.148597717285156	-65.95796203613281	2.8093643188476562
dsgdb9nsd_000417	-62.86369323730469	-65.58406066894531	2.720367431640625
dsgdb9nsd_000432	-71.10186767578125	-74.18536376953125	3.08349609375
dsgdb9nsd_000433	-63.167728424072266	-66.06383514404297	2.896106719970703
dsgdb9nsd_000434	-63.12576675415039	-65.75886535644531	2.633098602294922
dsgdb9nsd_000456	-66.37246704101562	-67.68598175048828	1.3135147094726562
dsgdb9nsd_000459	-66.20204162597656	-67.82878112792969	1.626739501953125
dsgdb9nsd_000462	-66.20661163330078	-67.81366729736328	1.6070556640625
dsgdb9nsd_000466	-71.8349380493164	-74.3007583618164	2.4658203125
dsgdb9nsd_000467	-63.84600067138672	-65.8596420288086	2.013641357421875
dsgdb9nsd_000468	-63.72251510620117	-65.80449676513672	2.081981658935547
dsgdb9nsd_000471	-63.87122344970703	-66.1496810913086	2.2784576416015625
dsgdb9nsd_000473	-71.03013610839844	-74.00650024414062	2.9763641357421875
dsgdb9nsd_000474	-63.05999755859375	-65.88822174072266	2.8282241821289062
dsgdb9nsd_000475	-65.48091125488281	-69.4160385131836	3.9351272583007812
dsgdb9nsd_000478	-65.07848358154297	-67.75019836425781	2.6717147827148438
dsgdb9nsd_000517	-65.33889770507812	-67.1839828491211	1.8450851440429688
dsgdb9nsd_000520	-58.372344970703125	-60.642906188964844	2.2705612182617188
dsgdb9nsd_000522	-65.36934661865234	-67.21473693847656	1.8453903198242188
dsgdb9nsd_000524	-58.53926086425781	-60.72663497924805	2.1873741149902344
dsgdb9nsd_000525	-65.06929016113281	-67.42045593261719	2.351165771484375
dsgdb9nsd_000526	-61.5920524597168	-63.0968017578125	1.5047492980957031
dsgdb9nsd_000534	-63.97598648071289	-65.67130279541016	1.6953163146972656
dsgdb9nsd_000535	-59.503929138183594	-60.99123001098633	1.4873008728027344
dsgdb9nsd_000543	-77.1012954711914	-80.42695617675781	3.3256607055664062
dsgdb9nsd_000544	-69.01333618164062	-72.25180053710938	3.23846435546875
dsgdb9nsd_000545	-68.81776428222656	-71.88055419921875	3.0627899169921875
dsgdb9nsd_000546	-68.9671859741211	-71.88549041748047	2.918304443359375
dsgdb9nsd_000547	-60.959224700927734	-63.57848358154297	2.6192588806152344
dsgdb9nsd_000548	-60.70444107055664	-63.58530807495117	2.8808670043945312
dsgdb9nsd_000549	-60.489280700683594	-63.0137939453125	2.5245132446289062
dsgdb9nsd_000550	-60.92673110961914	-64.03706359863281	3.110332489013672
