ID	Correct	Predict	Error
dsgdb9nsd_000029	-6.563389778137207,1.8612598180770874	-7.4493937492370605,-0.8934553265571594	0.8860039710998535,2.754715144634247
dsgdb9nsd_000040	-7.1266655921936035,2.2041234970092773	-7.232015609741211,-0.8665638566017151	0.10535001754760742,3.0706873536109924
dsgdb9nsd_000060	-6.906253337860107,-2.6231789588928223	-8.146380424499512,-0.9800496101379395	1.2401270866394043,1.6431293487548828
dsgdb9nsd_000064	-8.65322494506836,0.9932160973548889	-7.696899890899658,-0.9241383075714111	0.9563250541687012,1.9173544049263
dsgdb9nsd_000075	-6.628696918487549,1.6299628019332886	-7.750107288360596,-0.9311094284057617	1.1214103698730469,2.5610722303390503
dsgdb9nsd_000082	-7.066800594329834,1.7170393466949463	-7.385781764984131,-0.8856826424598694	0.3189811706542969,2.6027219891548157
dsgdb9nsd_000120	-6.751148223876953,0.6830061674118042	-7.825108051300049,-0.940051794052124	1.0739598274230957,1.6230579614639282
dsgdb9nsd_000127	-7.929401874542236,0.8789282441139221	-8.037309646606445,-0.9664835333824158	0.10790777206420898,1.845411777496338
dsgdb9nsd_000146	-7.181088447570801,-1.0367543697357178	-8.14871883392334,-0.9803065061569214	0.9676303863525391,0.05644786357879639
dsgdb9nsd_000150	-7.137550354003906,2.655832529067993	-7.580662250518799,-0.909835934638977	0.4431118965148926,3.56566846370697
dsgdb9nsd_000157	-6.745706081390381,0.6557947397232056	-8.279947280883789,-0.9964855909347534	1.5342411994934082,1.652280330657959
dsgdb9nsd_000161	-6.998772144317627,2.353785991668701	-7.898898601531982,-0.9493203163146973	0.9001264572143555,3.3031063079833984
dsgdb9nsd_000177	-9.989304542541504,-2.919783115386963	-7.797606468200684,-0.9381171464920044	2.1916980743408203,1.9816659688949585
dsgdb9nsd_000182	-6.258622169494629,0.07074964046478271	-8.019563674926758,-0.9643769860267639	1.760941505432129,1.0351266264915466
dsgdb9nsd_000193	-6.451822757720947,0.22313347458839417	-8.399247169494629,-1.0112802982330322	1.9474244117736816,1.2344137728214264
